generation	clone_id	dN	dS	pN	pS
501	0	0	0	20	2
501	1	0	0	2	3
501	2	0	0	38	14
501	3	0	0	10	1
501	4	0	0	8	1
501	5	0	0	8	3
501	6	0	0	21	13
501	7	0	0	17	6
501	8	0	0	7	4
501	9	0	0	9	5
1001	0	0	0	12	5
1001	1	0	0	7	4
1001	2	0	0	21	14
1001	3	0	0	8	3
1001	4	0	0	8	4
1001	5	0	0	18	8
1001	6	0	0	25	5
1001	7	0	0	15	6
1001	8	0	0	8	2
1001	9	0	0	10	7
1501	0	3	0	6	1
1501	1	0	0	8	5
1501	2	2	1	27	13
1501	3	2	0	11	5
1501	4	0	0	16	1
1501	5	0	2	12	4
1501	6	2	0	21	8
1501	7	0	0	10	5
1501	8	1	0	4	2
1501	9	2	0	16	3
2001	0	2	0	14	3
2001	1	1	0	3	5
2001	2	2	2	27	17
2001	3	2	1	11	1
2001	4	0	0	8	1
2001	5	0	2	12	5
2001	6	3	0	16	11
2001	7	0	1	20	7
2001	8	1	0	9	0
2001	9	1	1	13	4
2501	0	2	0	16	3
2501	1	1	0	5	4
2501	2	2	2	36	9
2501	3	2	1	9	2
2501	4	0	0	14	5
2501	5	0	2	14	7
2501	6	3	0	22	16
2501	7	0	1	21	8
2501	8	1	0	6	4
2501	9	2	1	13	6
3001	0	2	0	22	2
3001	1	1	0	4	7
3001	2	2	2	38	12
3001	3	2	1	6	4
3001	4	0	0	12	9
3001	5	0	2	17	6
3001	6	3	0	21	11
3001	7	0	1	8	10
3001	8	1	0	10	3
3001	9	2	1	13	8
3501	0	5	0	18	5
3501	1	2	1	10	5
3501	2	6	2	20	7
3501	3	5	1	7	6
3501	4	0	2	10	6
3501	5	1	3	11	5
3501	6	4	1	22	7
3501	7	0	3	8	7
3501	8	2	0	8	2
3501	9	4	2	6	8
4001	0	5	0	17	7
4001	1	2	1	15	2
4001	2	5	3	23	11
4001	3	5	1	4	6
4001	4	0	2	18	4
4001	5	1	2	12	7
4001	6	4	0	20	11
4001	7	0	3	17	12
4001	8	2	0	4	6
4001	9	4	2	8	8
4501	0	3	0	14	7
4501	1	2	1	6	7
4501	2	6	4	28	13
4501	3	5	1	12	4
4501	4	0	2	11	3
4501	5	1	3	12	6
4501	6	4	1	20	8
4501	7	0	3	17	13
4501	8	2	0	7	5
4501	9	4	2	10	4
5001	0	4	0	14	2
5001	1	2	1	3	5
5001	2	6	4	43	7
5001	3	5	1	13	3
5001	4	0	2	14	6
5001	5	1	3	19	5
5001	6	4	1	24	9
5001	7	0	3	17	13
5001	8	2	0	6	3
5001	9	4	2	20	7
5501	0	4	0	17	4
5501	1	2	1	7	7
5501	2	6	4	35	10
5501	3	5	1	10	5
5501	4	0	2	9	3
5501	5	1	3	16	4
5501	6	4	1	25	8
5501	7	0	3	21	9
5501	8	2	0	11	7
5501	9	3	2	12	9
6001	0	4	0	16	2
6001	1	2	1	6	4
6001	2	7	5	28	11
6001	3	5	2	5	1
6001	4	2	2	4	6
6001	5	2	3	15	4
6001	6	4	1	19	7
6001	7	2	4	14	8
6001	8	2	1	9	1
6001	9	5	3	15	3
6501	0	4	0	17	3
6501	1	2	0	11	5
6501	2	9	5	11	19
6501	3	5	2	5	5
6501	4	2	2	10	3
6501	5	2	3	10	3
6501	6	5	2	15	6
6501	7	3	4	16	6
6501	8	2	1	9	4
6501	9	5	3	12	7
7001	0	3	0	14	6
7001	1	2	2	9	2
7001	2	9	6	24	13
7001	3	5	2	3	4
7001	4	1	2	9	0
7001	5	3	2	10	4
7001	6	5	2	21	11
7001	7	3	4	15	10
7001	8	2	1	5	3
